ano;UF;VD3004;escolaridade;VD4014;faixa_horas_trabalhadas;V403312;se
2024;24;3;Ensino Fundamental;2;15 até 39 Horas;873,384131603557;1,22822849978859e+02
2024;25;3;Ensino Fundamental;2;15 até 39 Horas;823,425474156215;1,29833471631635e+02
2024;26;3;Ensino Fundamental;2;15 até 39 Horas;856,202170364641;7,54139511508879e+01
2024;27;3;Ensino Fundamental;2;15 até 39 Horas;1032,070774705803;6,92337807337790e+01
2024;28;3;Ensino Fundamental;2;15 até 39 Horas;998,957200058360;9,96324229573725e+01
2024;29;3;Ensino Fundamental;2;15 até 39 Horas;1746,817672765707;4,77505391741596e+02
2024;31;3;Ensino Fundamental;2;15 até 39 Horas;1444,300111623375;8,27091187455585e+01
2024;32;3;Ensino Fundamental;2;15 até 39 Horas;1551,773324119416;1,77959949845692e+02
2024;33;3;Ensino Fundamental;2;15 até 39 Horas;1469,586976014239;8,97265829034951e+01
2024;35;3;Ensino Fundamental;2;15 até 39 Horas;1763,514838537558;1,61876335478915e+02
2024;41;3;Ensino Fundamental;2;15 até 39 Horas;1629,962304935446;1,35384376053446e+02
2024;42;3;Ensino Fundamental;2;15 até 39 Horas;1541,417531627533;7,37756194485992e+01
2024;43;3;Ensino Fundamental;2;15 até 39 Horas;1690,073474613976;1,23253647871944e+02
2024;50;3;Ensino Fundamental;2;15 até 39 Horas;1315,042800958191;1,29773610334902e+02
2024;51;3;Ensino Fundamental;2;15 até 39 Horas;1551,909413461660;1,64355533736277e+02
2024;52;3;Ensino Fundamental;2;15 até 39 Horas;1771,634152987265;2,40029984084944e+02
2024;53;3;Ensino Fundamental;2;15 até 39 Horas;1274,239870441873;1,18013202292072e+02
2024;11;4;Ensino Médio;2;15 até 39 Horas;1272,325461413008;1,52235588834994e+02
2024;12;4;Ensino Médio;2;15 até 39 Horas;1063,958076978352;1,29721624958260e+02
2024;13;4;Ensino Médio;2;15 até 39 Horas;851,697845429784;5,65650933578291e+01
2024;14;4;Ensino Médio;2;15 até 39 Horas;1240,026680515359;3,25522109881479e+02
2024;15;4;Ensino Médio;2;15 até 39 Horas;913,932235050172;6,31185538066401e+01
2024;16;4;Ensino Médio;2;15 até 39 Horas;1352,236890627778;3,41162240631894e+02
2024;17;4;Ensino Médio;2;15 até 39 Horas;1208,187597642129;2,29534527720495e+02
2024;21;4;Ensino Médio;2;15 até 39 Horas;757,050932073796;5,96433184921170e+01
2024;22;4;Ensino Médio;2;15 até 39 Horas;868,114274358784;1,25302480057019e+02
2024;23;4;Ensino Médio;2;15 até 39 Horas;748,185967824038;5,75156180087126e+01
2024;24;4;Ensino Médio;2;15 até 39 Horas;1126,816669162429;1,30270872243194e+02
2024;25;4;Ensino Médio;2;15 até 39 Horas;1100,039855372754;1,84321073167263e+02
2024;26;4;Ensino Médio;2;15 até 39 Horas;1063,232930259023;9,02524317038034e+01
2024;27;4;Ensino Médio;2;15 até 39 Horas;991,909926658646;8,70770357995539e+01
2024;28;4;Ensino Médio;2;15 até 39 Horas;705,511940368985;6,53023188066867e+01
2024;29;4;Ensino Médio;2;15 até 39 Horas;1003,320392879791;1,94533373967407e+02
2024;31;4;Ensino Médio;2;15 até 39 Horas;1394,668059154627;7,01795470193543e+01
2024;32;4;Ensino Médio;2;15 até 39 Horas;1181,076357836130;8,14771825794793e+01
2024;33;4;Ensino Médio;2;15 até 39 Horas;1160,759238544276;9,06517813397383e+01
2024;35;4;Ensino Médio;2;15 até 39 Horas;1408,763096796993;8,95829269884418e+01
2024;41;4;Ensino Médio;2;15 até 39 Horas;1541,731163191623;1,54304938410041e+02
