ano;UF;escolaridade;escolaridade_adj;renda_bruta_1_Até 14 Horas;renda_bruta_2_15 até 39 Horas;renda_bruta_3_40 até 44 Horas;renda_bruta_4_44 até 48 Horas;renda_bruta_5_49 Horas +;se_1_Até 14 Horas;se_2_15 até 39 Horas;se_3_40 até 44 Horas;se_4_44 até 48 Horas;se_5_49 Horas +
2024;26;4;Ensino Médio;304,378242315531;1009,241668000459;1517,947512511485;1775,380241685522;1885,257338859467;5,23663654875774e+01;89,6950811787819;86,8599724365619;2,99366048519934e+02;2,69609392051025e+02
2024;27;4;Ensino Médio;355,004429428594;893,440577253705;1829,012909341434;1483,093892913397;1751,289130192630;6,64981340861012e+01;76,6027191657354;160,7402869264270;1,02429071059418e+02;2,94303987443917e+02
2024;28;4;Ensino Médio;517,668630704275;695,043534435777;1940,170425663556;1627,383612638161;2288,864814139801;7,33607923591750e+01;59,8005581665437;258,1213109276542;1,73310648758991e+02;7,14263642395578e+02
2024;29;4;Ensino Médio;307,870716833181;939,145325713377;1480,883079432660;1438,574017984685;1846,442968113704;6,34859242573892e+01;197,3858016921351;118,7209232315434;1,01602623392023e+02;3,46127334616783e+02
2024;31;4;Ensino Médio;607,457355655371;1238,255623344879;2005,373793596645;1992,835723004315;2605,198541536219;8,48458422326505e+01;76,1335541424478;56,4135308508464;9,67904376576870e+01;1,69650469615003e+02
2024;32;4;Ensino Médio;595,797414711575;1172,857337167143;2525,612549144537;2410,741780285336;2754,235790902397;1,44853764270016e+02;81,7977625010141;272,4273224804728;5,69206692164552e+02;3,42737267256480e+02
2024;33;4;Ensino Médio;630,393925697206;1186,590498451384;1755,821113671465;1844,247896937256;2170,480082455295;8,89175505121480e+01;122,9288529968124;52,5613690403201;1,01964743023003e+02;2,03896091305230e+02
2024;35;4;Ensino Médio;867,632577018011;1182,100146640624;2275,032226499227;2039,177538302510;3606,986494755004;1,38773376694569e+02;53,5810110783371;77,0023040422277;1,13384660578367e+02;1,11064416362680e+03
2024;41;4;Ensino Médio;2384,304076187539;1477,929056768153;2604,567834145943;2496,160564604188;2836,261006447952;1,45137046674957e+03;141,8988059180273;136,9423757048223;1,74501990879667e+02;1,75081480496563e+02
2024;42;4;Ensino Médio;850,582006978890;1285,830076084097;2414,963536674832;2586,071454676453;2757,470241817615;2,60113830431190e+02;82,5765537750314;70,0636185396492;1,99726631427089e+02;2,26525597527732e+02
2024;43;4;Ensino Médio;1062,438140326747;1411,330224677319;2379,129967496387;2324,432107294529;2856,962091200935;2,09419775915223e+02;131,3621639307509;141,3697177946325;1,88112641577960e+02;1,89463052913312e+02
2024;50;4;Ensino Médio;712,638181853106;1202,998202347317;2339,489689922289;2599,030581214593;2301,000077024877;1,71653926860907e+02;77,5898579350626;128,3928012565900;2,28211413691298e+02;2,31981936393192e+02
2024;51;4;Ensino Médio;1217,779143575262;1416,925224920315;2451,869519309145;2210,799710672366;3174,925038440853;6,05323132485895e+02;212,5275674355746;123,7875121965603;1,30222069940801e+02;3,12275807169673e+02
2024;52;4;Ensino Médio;708,904707193608;1117,796179488441;2288,682344884041;2491,195663697537;3017,285354161860;2,01851108060331e+02;77,0350439332119;156,9445749982179;2,18690966709289e+02;2,14347255184048e+02
2024;53;4;Ensino Médio;2886,516801289098;1222,486094456927;1963,211165244189;3363,258294235551;3502,906113124744;2,19492997149613e+03;151,7120352977753;121,9176689611097;1,09792033050393e+03;1,44058199293831e+03
2024;11;5;Ensino Médio;1365,901295005592;2369,433300578504;2423,261497718991;2991,846009526446;3877,449001868242;7,35497004456631e+02;202,5860383567757;81,3760439063475;4,40033618395108e+02;1,29439681022508e+03
2024;12;5;Ensino Médio;566,884959381895;1546,414404693343;2103,101161015662;2024,423549363741;2309,702317966683;6,93445897945465e+01;109,0969787350735;84,9915234422704;2,91905188065220e+02;3,12007531641491e+02
2024;13;5;Ensino Médio;621,831071479218;1395,934213715195;1963,211922857879;2028,454171834201;2679,503910024973;1,53412539815495e+02;90,0131108267218;52,1812776709820;1,81265685049895e+02;3,00748552406490e+02
2024;14;5;Ensino Médio;519,637638194004;1718,613756869273;2043,692933717711;1835,044020054957;2490,328366127754;1,63062729334398e+02;127,9661520840884;139,4712583759940;9,79541683371194e+01;3,46400625595475e+02
2024;15;5;Ensino Médio;638,981870962005;1445,492516590693;2128,297353661608;2002,135217771984;2570,531399223966;8,62765009315011e+01;74,2361764988937;122,9220579704790;1,00393986808831e+02;2,69456760707726e+02
2024;16;5;Ensino Médio;823,730473561102;2428,324987602314;2213,040953930623;2595,734915539229;3294,479351520396;3,21983565659517e+02;440,6163957061448;99,2796137130111;4,07087406155745e+02;6,71414882892841e+02
2024;17;5;Ensino Médio;538,404402640729;1804,553553429171;2237,490634992886;2238,741501816753;2864,007514596719;1,03327397629929e+02;194,2327986033717;100,2492835322175;1,54071782289686e+02;3,73544430099628e+02
2024;21;5;Ensino Médio;756,361991181779;1282,125893419693;2124,221554685046;2037,323197246899;2388,244188722158;9,43616748839029e+01;59,2704368549079;211,6622935072604;1,41081782675946e+02;1,65967346413350e+02
