ano;UF;escolaridade;escolaridade_adj;horas_trabalhadas;faixa_horas_trabalhadas;renda_bruta;se
2024;29;2;Ensino Fundamental;2;15 até 39 Horas;891,472780944552;6,82673976820461e+01
2024;31;2;Ensino Fundamental;2;15 até 39 Horas;1182,495624888225;4,10349018841845e+01
2024;32;2;Ensino Fundamental;2;15 até 39 Horas;1297,335183857052;9,68597691826676e+01
2024;33;2;Ensino Fundamental;2;15 até 39 Horas;1249,583429477927;6,15249373959391e+01
2024;35;2;Ensino Fundamental;2;15 até 39 Horas;1538,072521329580;1,29236377610454e+02
2024;41;2;Ensino Fundamental;2;15 até 39 Horas;1629,851336361028;2,12558674352773e+02
2024;42;2;Ensino Fundamental;2;15 até 39 Horas;1442,469397201726;6,34567052153721e+01
2024;43;2;Ensino Fundamental;2;15 até 39 Horas;1327,388943740664;7,30463757096809e+01
2024;50;2;Ensino Fundamental;2;15 até 39 Horas;1104,092100302040;6,76414950182332e+01
2024;51;2;Ensino Fundamental;2;15 até 39 Horas;1563,378639976185;1,07022373408511e+02
2024;52;2;Ensino Fundamental;2;15 até 39 Horas;1352,015641008042;9,19980854515774e+01
2024;53;2;Ensino Fundamental;2;15 até 39 Horas;1302,766603910866;8,81876149766547e+01
2024;11;3;Ensino Fundamental;2;15 até 39 Horas;1437,534049180015;1,70093968346054e+02
2024;12;3;Ensino Fundamental;2;15 até 39 Horas;1114,839490258259;1,41502517652078e+02
2024;13;3;Ensino Fundamental;2;15 até 39 Horas;985,823748244730;1,19511606782812e+02
2024;14;3;Ensino Fundamental;2;15 até 39 Horas;1142,339933884763;1,18017764267320e+02
2024;15;3;Ensino Fundamental;2;15 até 39 Horas;1096,250200687652;1,15117012133859e+02
2024;16;3;Ensino Fundamental;2;15 até 39 Horas;1119,374654164534;1,22910682436058e+02
2024;17;3;Ensino Fundamental;2;15 até 39 Horas;1150,321888779573;1,56978047044713e+02
2024;21;3;Ensino Fundamental;2;15 até 39 Horas;825,193463142140;4,52674938493617e+01
2024;22;3;Ensino Fundamental;2;15 até 39 Horas;962,958049234973;1,22587673126708e+02
2024;23;3;Ensino Fundamental;2;15 até 39 Horas;732,884557615114;7,18786576063381e+01
2024;24;3;Ensino Fundamental;2;15 até 39 Horas;747,953868966330;8,33500088483258e+01
2024;25;3;Ensino Fundamental;2;15 até 39 Horas;819,572968914532;1,30428842267880e+02
2024;26;3;Ensino Fundamental;2;15 até 39 Horas;778,628437054060;5,94733950072903e+01
2024;27;3;Ensino Fundamental;2;15 até 39 Horas;1013,542191184838;6,74030963781092e+01
2024;28;3;Ensino Fundamental;2;15 até 39 Horas;883,909540085074;7,09511588701117e+01
2024;29;3;Ensino Fundamental;2;15 até 39 Horas;1573,050468796011;5,04802578447309e+02
2024;31;3;Ensino Fundamental;2;15 até 39 Horas;1297,543224642656;9,17825256118801e+01
2024;32;3;Ensino Fundamental;2;15 até 39 Horas;1484,175511739770;1,91357206625281e+02
2024;33;3;Ensino Fundamental;2;15 até 39 Horas;1352,600926079765;8,49966645737943e+01
2024;35;3;Ensino Fundamental;2;15 até 39 Horas;1726,402342442870;1,81617319661113e+02
2024;41;3;Ensino Fundamental;2;15 até 39 Horas;1710,046192415411;2,14003493991469e+02
2024;42;3;Ensino Fundamental;2;15 até 39 Horas;1505,567546022153;6,60548813624569e+01
2024;43;3;Ensino Fundamental;2;15 até 39 Horas;1492,443313806544;1,14482069511512e+02
2024;50;3;Ensino Fundamental;2;15 até 39 Horas;1272,299301191540;1,80543768013217e+02
2024;51;3;Ensino Fundamental;2;15 até 39 Horas;1474,359339899518;1,70478113438384e+02
2024;52;3;Ensino Fundamental;2;15 até 39 Horas;1845,468542347666;2,62663511483664e+02
2024;53;3;Ensino Fundamental;2;15 até 39 Horas;1203,127995018839;1,26694966598014e+02
2024;11;4;Ensino Médio;2;15 até 39 Horas;1237,849382020779;1,44941829222137e+02
2024;12;4;Ensino Médio;2;15 até 39 Horas;1048,501290836070;1,25139109907810e+02
2024;13;4;Ensino Médio;2;15 até 39 Horas;839,335613421071;5,58557661417287e+01
2024;14;4;Ensino Médio;2;15 até 39 Horas;1225,893086123915;3,38984847698237e+02
2024;15;4;Ensino Médio;2;15 até 39 Horas;866,183996858249;6,01693589337027e+01
2024;16;4;Ensino Médio;2;15 até 39 Horas;1301,452521092267;3,36404794115343e+02
2024;17;4;Ensino Médio;2;15 até 39 Horas;1282,231879152765;2,42298814840834e+02
2024;21;4;Ensino Médio;2;15 até 39 Horas;725,831985465967;4,58998712628590e+01
2024;22;4;Ensino Médio;2;15 até 39 Horas;767,589560182354;7,12514286202325e+01
2024;23;4;Ensino Médio;2;15 até 39 Horas;758,208696086260;6,16688850290125e+01
2024;24;4;Ensino Médio;2;15 até 39 Horas;1060,901851662553;1,26449715195414e+02
2024;25;4;Ensino Médio;2;15 até 39 Horas;1072,454519327360;1,94955716461972e+02
2024;26;4;Ensino Médio;2;15 até 39 Horas;1009,241668000459;8,96950811787819e+01
2024;27;4;Ensino Médio;2;15 até 39 Horas;893,440577253705;7,66027191657354e+01
2024;28;4;Ensino Médio;2;15 até 39 Horas;695,043534435777;5,98005581665437e+01
2024;29;4;Ensino Médio;2;15 até 39 Horas;939,145325713377;1,97385801692135e+02
2024;31;4;Ensino Médio;2;15 até 39 Horas;1238,255623344879;7,61335541424478e+01
2024;32;4;Ensino Médio;2;15 até 39 Horas;1172,857337167143;8,17977625010141e+01
2024;33;4;Ensino Médio;2;15 até 39 Horas;1186,590498451384;1,22928852996812e+02
2024;35;4;Ensino Médio;2;15 até 39 Horas;1182,100146640624;5,35810110783371e+01
2024;41;4;Ensino Médio;2;15 até 39 Horas;1477,929056768153;1,41898805918027e+02
2024;42;4;Ensino Médio;2;15 até 39 Horas;1285,830076084097;8,25765537750314e+01
2024;43;4;Ensino Médio;2;15 até 39 Horas;1411,330224677319;1,31362163930751e+02
2024;50;4;Ensino Médio;2;15 até 39 Horas;1202,998202347317;7,75898579350626e+01
2024;51;4;Ensino Médio;2;15 até 39 Horas;1416,925224920315;2,12527567435575e+02
2024;52;4;Ensino Médio;2;15 até 39 Horas;1117,796179488441;7,70350439332119e+01
2024;53;4;Ensino Médio;2;15 até 39 Horas;1222,486094456927;1,51712035297775e+02
2024;11;5;Ensino Médio;2;15 até 39 Horas;2369,433300578504;2,02586038356776e+02
2024;12;5;Ensino Médio;2;15 até 39 Horas;1546,414404693343;1,09096978735074e+02
